Year, Country, GDP (USD), Population, Internet Users (%), Mobile Subscriptions, Mobile Subscriptions per 100 inhabitants, Broadband Subscriptions
2000, USA, 10284, 282162411, 124.57, 109460000, 38.8, 60000000
2001, USA, 10577, 284968955, 148.63, 128500000, 45.1, 70000000
2002, USA, 10934, 287625193, 169.52, 141800000, 49.3, 80000000
2003, USA, 11458, 290107933, 183.67, 160637000, 55.4, 90000000
2004, USA, 12213, 292805298, 192.06, 184819000, 63.1, 100000000
2000, China, 1211, 1262645000, 22.5, 200000000, 16, 8000000
2001, China, 1339, 1271850000, 33.7, 260000000, 20.4, 10000000
2002, China, 1471, 1280400000, 58.5, 300000000, 23.5, 12000000
2003, China, 1666, 1288400000, 79.5, 350000000, 27.1, 14000000
2004, China, 1951, 1296075000, 94, 360000000, 27.8, 16000000
2000, India, 476, 1006300000, 0.5, 32500000, 3.2, 200000
2001, India, 502, 1016500000, 0.7, 39100000, 3.8, 250000
2002, India, 527, 1026800000, 1.2, 48300000, 4.7, 300000
2003, India, 570, 1037375000, 1.8, 63000000, 6, 400000
2004, India, 652, 1048186000, 2.3, 82600000, 7.9, 500000
2000, Brazil, 655, 176661519, 8.5, 30352577, 17.2, 1200000
2001, Brazil, 559, 179900635, 11.2, 41341425, 23, 1500000
2002, Brazil, 507, 183181843, 14, 48119348, 26.3, 1800000
2003, Brazil, 559, 186491005, 19.2, 61318077, 32.9, 2200000
2004, Brazil, 656, 189821403, 22.7, 80827744, 43, 2600000
2000, Japan, 4063, 126843000, 47.08, 67328337, 53.1, 30000000
2001, Japan, 4303, 126544000, 49.08, 77488337, 61.2, 35000000
2002, Japan, 4567, 127185332, 51.27, 86378337, 67.8, 40000000
2003, Japan, 4755, 127773000, 53.68, 94528337, 74.1, 45000000
2004, Japan, 4813, 128083960, 56.09, 99878337, 78.1, 50000000
2000, Germany, 1957, 82211457, 42.17, 47475800, 57.8, 15000000
2001, Germany, 2073, 82376451, 46.78, 50375800, 61.2, 17000000
2002, Germany, 2215, 82534176, 51.72, 53775800, 65.1, 20000000
2003, Germany, 2377, 82631494, 57.71, 57575800, 69.7, 23000000
2004, Germany, 2498, 82740976, 62.47, 61075800, 73.7, 25000000
2000, France, 1477, 59225700, 28.2, 30515500, 52.2, 7000000
2001, France, 1524, 59550400, 33.12, 33515500, 57.2, 9000000
2002, France, 1580, 59924900, 38.6, 37015500, 62.1, 11000000
2003, France, 1642, 60347723, 44.43, 40515500, 67.2, 13000000
2004, France, 1707, 60735516, 49.71, 44015500, 72.1, 15000000
